2026-09-10 16:27:22,511 | INFO | food_delivery_app | Application starting.
2026-09-10 16:27:22,512 | INFO | food_delivery_app | Checking default admin.
2026-09-10 16:27:23,223 | INFO | food_delivery_app | Default admin created successfully : admin@example.com
2026-09-10 16:27:23,224 | INFO | food_delivery_app | Application started successfully.
2026-09-10 19:52:20,921 | INFO | food_delivery_app | Login attempt : admin@example.com
2026-09-10 19:52:22,691 | INFO | food_delivery_app | Login successful : admin@example.com
2026-09-10 19:54:20,529 | INFO | food_delivery_app | Login attempt : admin@example.com
2026-09-10 19:54:20,779 | INFO | food_delivery_app | Login successful : admin@example.com
2026-09-10 19:55:02,117 | INFO | food_delivery_app | Refresh token requested.
2026-09-10 19:55:02,144 | INFO | food_delivery_app | Access token refreshed : admin@example.com
2026-09-10 19:56:10,119 | INFO | food_delivery_app | Setting user activation : 1, is_active=True
2026-09-10 19:56:10,135 | WARNING | food_delivery_app | HTTP 400 : You cannot change your own activation status. : PUT /api/v1/auth/1/activation
2026-09-10 19:56:27,426 | INFO | food_delivery_app | Setting user activation : 1, is_active=False
2026-09-10 19:56:27,428 | WARNING | food_delivery_app | HTTP 400 : You cannot change your own activation status. : PUT /api/v1/auth/1/activation
2026-09-10 19:56:47,660 | INFO | food_delivery_app | Registration started : rohan.owner@example.com, requested role=RESTAURANT_OWNER
2026-09-10 19:56:48,805 | INFO | food_delivery_app | User registered successfully : rohan.owner@example.com, role=RESTAURANT_OWNER
2026-09-10 19:57:30,004 | INFO | food_delivery_app | Login attempt : rohan.owner@example.com
2026-09-10 19:57:30,279 | INFO | food_delivery_app | Login successful : rohan.owner@example.com
2026-09-10 19:57:58,281 | INFO | food_delivery_app | Login attempt : rohan.owner@example.com
2026-09-10 19:57:58,561 | INFO | food_delivery_app | Login successful : rohan.owner@example.com
2026-09-10 19:58:06,534 | INFO | food_delivery_app | Login attempt : admin@example.com
2026-09-10 19:58:06,791 | INFO | food_delivery_app | Login successful : admin@example.com
2026-09-10 19:58:33,945 | INFO | food_delivery_app | Setting user activation : 2, is_active=True
2026-09-10 19:58:34,116 | INFO | food_delivery_app | User activation updated successfully : 2, is_active=True
2026-09-10 19:59:11,417 | INFO | food_delivery_app | Login attempt : rohan.owner@example.com
2026-09-10 19:59:11,678 | INFO | food_delivery_app | Login successful : rohan.owner@example.com
2026-09-10 19:59:47,012 | INFO | food_delivery_app | Creating restaurant : Spice Garden
2026-09-10 19:59:47,288 | INFO | food_delivery_app | Restaurant created successfully : 1
2026-09-10 20:00:31,053 | INFO | food_delivery_app | Creating restaurant : Pasta Palace
2026-09-10 20:00:31,552 | INFO | food_delivery_app | Restaurant created successfully : 2
2026-09-10 20:00:47,783 | INFO | food_delivery_app | Fetching restaurants list.
2026-09-10 20:01:08,103 | INFO | food_delivery_app | Fetching restaurants list.
2026-09-10 20:01:33,544 | INFO | food_delivery_app | Fetching restaurants list.
2026-09-10 20:02:11,377 | INFO | food_delivery_app | Fetching restaurant by id : 1
2026-09-10 20:02:53,685 | INFO | food_delivery_app | Updating restaurant : 1
2026-09-10 20:02:53,929 | INFO | food_delivery_app | Restaurant updated successfully : 1
2026-09-10 20:10:16,013 | INFO | food_delivery_app | Creating menu item : Butter Chicken, restaurant 1
2026-09-10 20:10:16,153 | INFO | food_delivery_app | Menu item created successfully : 1
2026-09-10 20:10:47,960 | INFO | food_delivery_app | Creating menu item : Paneer Tikka, restaurant 1
2026-09-10 20:10:48,144 | INFO | food_delivery_app | Menu item created successfully : 2
2026-09-10 20:11:12,603 | INFO | food_delivery_app | Fetching menu items list.
2026-09-10 20:11:44,095 | INFO | food_delivery_app | Fetching menu item by id : 1
2026-09-10 20:12:22,860 | INFO | food_delivery_app | Updating menu item : 1
2026-09-10 20:12:23,043 | INFO | food_delivery_app | Menu item updated successfully : 1
2026-09-10 20:12:45,322 | INFO | food_delivery_app | Updating menu item : 1
2026-09-10 20:12:45,546 | INFO | food_delivery_app | Menu item updated successfully : 1
